Context_Type,Enclosure_Type,Base_Part_Number,On/Off_Output_Torque_In-Lbs,On/Off_Output_Torque_Nm,On/Off_Duty_Cycle_S4_percent,Cycles_per_Hour,Modulating_Output_Torque_In-Lbs,Modulating_Output_Torque_Nm,Modulating_Duty_Cycle_S4_percent,Starts_per_Hour,Operating_Speed_sec_60Hz,Operating_Speed_sec_50Hz,Full_Load_Current_FLA_A_60Hz,Full_Load_Current_FLA_A_50Hz,Locked_Rotor_Current_LRA_A_60Hz,Locked_Rotor_Current_LRA_A_50Hz,Motor_Power_Watts
220V Single Phase Power,EXPLOSIONPROOF - CSA,761X30-11320000/A,690,80,40,190,550,65,40,960,20,23,0.6,0.6,0.7,0.7,15
220V Single Phase Power,EXPLOSIONPROOF - CSA,761Y30-11320000/A,790,90,40,190,630,72,40,960,20,23,0.6,0.6,0.7,0.7,15
220V Single Phase Power,EXPLOSIONPROOF - CSA,762X30-11320000/A,1350,150,35,180,1150,130,40,960,23,28,1.0,0.9,1.2,1.1,40
220V Single Phase Power,EXPLOSIONPROOF - CSA,762Y30-11320000/A,1590,180,35,180,1270,145,40,960,23,28,1.1,1.0,1.2,1.1,40
220V Single Phase Power,EXPLOSIONPROOF - CSA,763X30-11320000/A,2300,260,40,140,1900,220,40,960,26,31,1.3,1.3,1.4,1.5,90
220V Single Phase Power,EXPLOSIONPROOF - CSA,763Y30-11320000/A,3980,450,30,170,3180,360,30,720,29,35,1.9,1.5,2.4,2.5,90
220V Single Phase Power,EXPLOSIONPROOF - CSA,764X30-11320000/A,6900,800,30,140,5520,640,30,720,34,41,2.4,2.2,3.8,3.9,180
220V Single Phase Power,EXPLOSIONPROOF - CSA,764Y30-11320000/A,8300,940,30,140,6640,750,30,720,34,41,3.4,3.3,3.8,3.9,180
220V Single Phase Power,EXPLOSIONPROOF - CSA,765X30-11320000/A,17500,2000,30,50,14000,1600,30,720,93,112,2.4,2.2,3.8,3.9,180
220V Single Phase Power,EXPLOSIONPROOF - CSA,765Y30-11320000/A,25900,3000,30,50,20720,2400,30,720,93,112,3.4,3.3,3.8,3.9,180
