Context_Type,Base Part Number,On/Off Output Torque_In-Lbs.,On/Off Output Torque_Nm,On/Off Duty Cycle_54%,Cycles Per Hour_Cycles,Modulating Output Torque_In-Lbs.,Modulating Output Torque_Nm,Modulating Duty Cycle_54%,Starts Per Hour_Starts,Operating Speed (sec)_60 Hz,Operating Speed (sec)_50 Hz,Full Load Current (FLA) [A]_60 Hz,Full Load Current (FLA) [A]_50 Hz,Locked Rotor Current (LRA) [A]_60 Hz,Locked Rotor Current (LRA) [A]_50 Hz,Motor Power_Watts
220V Single Phase Power,761A00-11320000/A,700,80,40,36,580,65,40,960,17,20,0.7,0.7,0.7,0.7,15
220V Single Phase Power,761B00-11320000/A,880,100,40,31,620,70,40,960,19,23,0.7,0.7,0.7,0.7,15
220V Single Phase Power,762A00-11320000/A,1330,150,35,30,1150,130,40,960,18,21,1.0,1.0,1.2,1.1,40
220V Single Phase Power,762800-11320000/A,1750,200,35,21,1330,150,40,960,24,29,1.1,1.1,1.2,1.1,40
220V Single Phase Power,763A00-11320000/A,2650,300,40,24,1950,220,40,960,24,29,1.3,1.3,1.4,1.5,90
220V Single Phase Power,763B00-11320000/A,4400,500,30,16,3350,380,40,960,26,32,2.2,2.1,2.4,2.5,90
220V Single Phase Power,763C00-11320000/A,4800,550,25,13,3540,400,40,960,28,34,2.2,2.1,2.4,2.5,90
220V Single Phase Power,764A00-11320000/A,6650,750,25,13,6020,680,35,840,27,33,3.2,3.0,3.8,3.9,180
220V Single Phase Power,764800-11320000/A,9700,1100,25,10,7080,800,35,840,36,43,3.6,3.5,3.9,3.6,180
220V Single Phase Power,765A00-11320000/A,17700,2000,25,4,15000,1700,35,840,88,106,3.3,3.2,3.8,3.9,180
220V Single Phase Power,765B00-11320000/A,26500,3000,25,3,22550,2550,35,840,108,130,3.5,3.5,3.8,3.9,180
220V Single Phase Power,766A00-11320000/A*,31000,3500,40,18,30975,3500,40,960,33,39,11.2,11.2,17.0,17.0,700
220V Single Phase Power,766800-11320000/A*,35400,4000,40,12,35400,4000,40,960,49,58,11.2,11.2,17.0,17.0,700
220V Single Phase Power,767A00-11320000/A*,53100,6000,40,9,53100,6000,40,960,66,78,9.0,9.0,17.0,17.0,700
220V Single Phase Power,767800-11320000/A*,70800,8000,40,6,70800,8000,40,960,98,116,9.0,9.0,17.0,17.0,700
220V Single Phase Power,767000-11320000/A*,79700,9000,40,6,79650,9000,40,960,99,117,9.0,9.0,17.0,17.0,700
